13.913,10.531,0.47694
6.5065,6.074,0.79805
5.0326,5.8039,0.67573
12.199,8.5878,-1.0327
4.3842,5.5847,-0.10682
8.5677,6.9977,-0.39754
1.4073,3.0531,1.4735
0.8532,2.6666,2.9677
-3.9624,1.7727,4.062
4.8229,5.6513,1.3256
-2.7897,1.4559,1.9775
3.1864,3.807,1.3385
3.8022,4.8259,1.1508
7.5233,5.7393,0.2383
-1.8503,1.4401,3.2717
5.4427,4.859,-0.018961
5.8035,5.9617,0.85081
0.95416,3.5196,1.2329
10.461,7.5212,-0.77874
-5.3063,-0.07391,3.0998
10.093,7.6888,1.0009
3.2768,3.8969,0.75718
-3.7632,1.3868,3.001
4.8004,5.6654,0.78917
7.5279,6.9642,0.1315
4.0217,5.0267,0.2516
0.66409,2.5333,1.7551
1.2838,3.751,1.0724
9.597,7.1881,1.3077
-2.8391,1.3363,3.7593
-1.9202,1.5203,1.281
2.6204,4.138,1.7277
3.9362,4.941,0.48792
3.6742,3.3895,2.2642
1.8999,3.13,0.55798
9.0744,7.578,0.13044
-5.6394,-0.29555,2.6784
16.602,10.902,-1.123
-1.7946,1.8839,2.2474
7.0692,6.3182,0.95608
-5.5671,-0.071596,2.668
0.15227,3.0272,0.96295
2.0242,4.2837,2.1899
3.4518,4.3683,1.5398
-2.6283,1.5066,3.5123
-4.0884,0.42149,3.2558
-1.6793,2.5528,3.1821
4.5537,4.8303,1.2115
2.9873,4.0828,0.41474
3.898,4.4427,0.065683
-1.0451,1.9307,2.2465
9.2315,7.7558,-2.1992
-0.78619,2.0378,3.1269
1.9912,3.0413,1.1747
-6.9291,-0.10074,3.3486
5.1641,5.0543,0.75979
4.1177,5.0835,1.3227
-1.503,1.7259,1.5891
5.4714,5.7743,0.18564
4.1537,4.998,-0.21534
1.9874,3.5959,1.6583
2.3409,3.8874,1.3216
10.321,7.6487,-0.89924
4.3862,4.864,0.54121
2.9597,4.2901,0.31035
5.3024,5.3113,0.53694
-0.43128,2.5541,1.8006
4.0275,4.1756,0.00082196
-2.403,1.1633,2.8746
4.7727,5.7084,0.82088
2.7613,4.8493,1.6933
3.3589,3.5643,2.0775
1.8967,3.8017,1.4374
4.1761,4.8746,0.64637
-4.4784,0.45484,3.0976
0.78646,3.1757,1.7849
-4.8071,1.2973,1.8974
2.8925,4.2818,0.31351
0.46209,2.2443,1.9579
7.055,6.0101,-0.55651
1.3251,3.3943,2.1413
4.1543,4.4835,0.96137
3.1194,3.0813,0.29644
12.602,8.9315,-0.19077
-3.94,0.92542,2.5403
1.0957,3.5432,2.8346
0.85647,3.5258,1.171
8.7356,7.2118,-0.56458
-0.036381,2.3317,1.6886
1.4265,3.454,0.57959
6.3611,5.9488,-0.048242
9.0792,7.3267,-0.71914
0.84117,2.8692,2.3821
2.6124,3.9714,2.8474
1.4285,3.8846,0.15549
-1.8522,0.75396,2.7435
-5.0986,-0.60786,4.9189
1.7543,3.8062,2.1328
5.9669,5.132,0.53404
6.2971,6.0362,0.62005
6.7169,5.745,0.21705
1.1008,2.2498,1.3554
-2.3448,1.5843,3.0809
5.1789,4.6195,0.75505
1.4599,3.3237,1.4223
3.2271,3.7926,1.2795
-0.57839,3.1336,3.1406
-2.3063,1.6656,2.9657
-2.3447,1.4948,1.9891
7.7333,5.0183,0.82885
0.43745,2.8874,2.919
4.9465,4.886,0.5583
7.2846,6.2277,1.2723
7.0143,6.3831,0.55356
-1.3593,1.3135,3.1005
7.3965,6.1659,1.465
3.347,3.8588,1.5258
4.2165,5.435,0.7483
3.0605,4.3359,0.45427
-0.80238,2.3204,2.7162
